Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
VZ,Verizon Communications Inc.,"0,1587%","4.301.919,10 €",5.000.000,"0,38%",22 mar 2029
UBS,UBS Group AG,"0,1499%","4.062.875,94 €",3.600.000,"7,75%",01 mar 2029
ABIBB,Anheuser-Busch InBev SA/NV,"0,1355%","3.674.983,04 €",4.050.000,"2,75%",17 mar 2036
INTNED,ING Groep NV,"0,1318%","3.574.745,23 €",3.500.000,"4,50%",23 mag 2029
NESNVX,Nestle Finance International Ltd.,"0,1225%","3.320.868,87 €",3.300.000,"3,50%",13 dic 2027
ABIBB,Anheuser-Busch InBev SA/NV,"0,1221%","3.310.716,87 €",3.550.000,"1,13%",01 lug 2027
JPM,JPMorgan Chase & Co.,"0,1208%","3.274.259,79 €",3.550.000,"1,96%",23 mar 2030
JPM,JPMorgan Chase & Co.,"0,1139%","3.086.893,56 €",2.975.000,"4,46%",13 nov 2031
SANTAN,Banco Santander SA,"0,1125%","3.050.910,81 €",2.900.000,"4,88%",18 ott 2031
MCFP,LVMH Moet Hennessy Louis Vuitton SE,"0,11%","2.982.217,47 €",3.000.000,"3,25%",07 set 2029
JPM,JPMorgan Chase & Co.,"0,1078%","2.921.506,57 €",3.060.000,"1,09%",11 mar 2027
BPLN,BP Capital Markets plc,"0,1077%","2.920.716,42 €",3.000.000,"3,25%",22 giu 2169
,Morgan Stanley,"0,1025%","2.779.690,98 €",2.800.000,"3,96%",21 mar 2035
BAC,Bank of America Corp.,"0,1002%","2.715.638,44 €",2.790.000,"1,95%",27 ott 2026
DT,Deutsche Telekom International Finance BV,"0,1001%","2.713.382,48 €",2.900.000,"1,50%",03 apr 2028
VW,Volkswagen International Finance NV,"0,0998%","2.706.720,60 €",2.700.000,"4,13%",15 nov 2025
HSBC,HSBC Holdings plc,"0,0998%","2.705.065,12 €",2.650.000,"4,75%",10 mar 2028
NFLX,Netflix Inc.,"0,0996%","2.700.975,99 €",2.600.000,"4,63%",15 mag 2029
MS,Morgan Stanley,"0,0991%","2.686.720,47 €",2.910.000,"0,41%",29 ott 2027
V,Visa Inc.,"0,0957%","2.595.286,82 €",2.700.000,"1,50%",15 giu 2026
SANTAN,Banco Santander SA,"0,0956%","2.592.217,21 €",2.600.000,"3,63%",27 set 2026
,JPMorgan Chase & Co.,"0,0926%","2.510.175,26 €",2.537.000,"3,76%",21 mar 2034
UBS,UBS Group AG,"0,0925%","2.507.944,47 €",2.574.000,"2,13%",13 ott 2026
BAYNGR,Bayer Capital Corp. BV,"0,0911%","2.470.221,42 €",2.600.000,"1,50%",26 giu 2026
,Cellnex Finance Co. SA,"0,0911%","2.469.819,92 €",2.900.000,"2,00%",15 set 2032
KBCBB,KBC Group NV,"0,0905%","2.453.748,55 €",2.400.000,"4,38%",19 apr 2030
C,Citigroup Inc.,"0,0898%","2.434.775,38 €",2.500.000,"1,50%",24 lug 2026
RABOBK,RABOBK 4.125 7/14/2025,"0,0889%","2.410.938,65 €",2.400.000,"4,13%",14 lug 2025
SOCGEN,Societe Generale SA,"0,0883%","2.392.978,37 €",2.300.000,"4,88%",21 nov 2031
VW,Volkswagen Financial Services AG,"0,0879%","2.383.943,50 €",2.650.000,"0,88%",31 gen 2028
MDT,Medtronic Global Holdings SCA,"0,0876%","2.375.401,68 €",2.500.000,,15 ott 2025
ACAFP,Credit Agricole SA/London,"0,0865%","2.345.410,60 €",2.500.000,"1,38%",03 mag 2027
VOD,Vodafone Group plc,"0,0856%","2.321.998,34 €",2.410.000,"1,13%",20 nov 2025
