Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
FRTR,French Republic Government Bond OAT,"1,2916%","36.452.960,48 €",36.977.000,"2,50%",24 set 2026
DBR,Bundesrepublik Deutschland Bundesanleihe,"1,1006%","31.063.289,99 €",31.500.000,"2,40%",15 nov 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"1,0604%","29.927.966,88 €",29.908.000,"3,60%",29 set 2025
,Italy Buoni Poliennali Del Tesoro,"0,983%","27.742.742,24 €",27.882.000,"3,20%",28 gen 2026
FRTR,French Republic Government Bond OAT,"0,8672%","24.475.961,11 €",29.588.000,,25 nov 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,8071%","22.778.876,25 €",22.175.000,"4,10%",01 feb 2029
FRTR,French Republic Government Bond OAT,"0,7829%","22.095.785,69 €",24.343.000,"0,75%",25 nov 2028
FRTR,French Republic Government Bond OAT,"0,7796%","22.001.817,77 €",19.777.000,"5,50%",25 apr 2029
FRTR,French Republic Government Bond OAT,"0,7763%","21.909.739,36 €",27.321.000,,25 nov 2031
BKO,Bundesschatzanweisungen,"0,7218%","20.370.442,94 €",20.418.784,"3,10%",18 set 2025
BTPS,Italy Buoni Poliennali Del Tesoro,"0,7201%","20.324.743,67 €",20.051.000,"3,80%",01 ago 2028
FRTR,French Republic Government Bond OAT,"0,7091%","20.012.904,51 €",22.036.500,"1,50%",25 mag 2031
FRTR,French Republic Government Bond OAT,"0,6923%","19.538.676,63 €",21.200.000,"0,75%",25 feb 2028
OBL,Bundesobligation,"0,6704%","18.920.874,42 €",20.004.000,,10 apr 2026
FRTR,French Republic Government Bond OAT,"0,6663%","18.806.207,35 €",18.980.000,"2,75%",25 ott 2027
FRTR,French Republic Government Bond OAT,"0,6592%","18.604.355,74 €",17.970.000,"6,00%",25 ott 2025
OBL,Bundesobligation,"0,6505%","18.359.089,45 €",18.600.000,"2,40%",19 ott 2028
FRTR,French Republic Government Bond OAT,"0,6505%","18.358.690,33 €",20.695.000,"0,50%",25 mag 2029
FRTR,French Republic Government Bond OAT,"0,65%","18.345.499,65 €",18.544.000,"2,75%",25 feb 2029
BTPS,Italy Buoni Poliennali Del Tesoro,"0,6418%","18.113.325,03 €",19.300.000,"1,10%",01 apr 2027
FRTR,French Republic Government Bond OAT,"0,6405%","18.078.510,18 €",17.532.175,"3,50%",25 nov 2033
FRTR,French Republic Government Bond OAT,"0,6379%","18.005.072,54 €",23.359.610,"1,25%",25 mag 2038
FRTR,French Republic Government Bond OAT,"0,6366%","17.967.997,14 €",19.593.000,"0,75%",25 mag 2028
FRTR,French Republic Government Bond OAT,"0,6309%","17.805.920,26 €",19.340.000,,25 feb 2027
OBL,Bundesobligation,"0,629%","17.751.938,75 €",19.004.000,,09 ott 2026
FRTR,French Republic Government Bond OAT,"0,6285%","17.737.630,39 €",18.677.000,"0,50%",25 mag 2026
FRTR,French Republic Government Bond OAT,"0,6062%","17.108.733,58 €",20.073.000,,25 nov 2029
FRTR,French Republic Government Bond OAT,"0,6021%","16.993.983,93 €",17.100.000,"3,00%",25 mag 2033
FRTR,French Republic Government Bond OAT,"0,592%","16.708.944,90 €",13.981.000,"5,75%",25 ott 2032
,Italy Buoni Poliennali Del Tesoro,"0,5729%","16.169.826,40 €",16.304.000,"3,50%",15 feb 2031
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,5635%","15.904.792,62 €",16.729.000,"2,50%",04 lug 2044
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,5511%","15.553.225,44 €",16.000.000,"2,10%",15 nov 2029
FRTR,French Republic Government Bond OAT,"0,5414%","15.280.813,97 €",18.163.000,"1,25%",25 mag 2034
FRTR,French Republic Government Bond OAT,"0,5384%","15.196.247,70 €",16.053.000,,25 feb 2026
SPGB,Spain Government Bond,"0,5292%","14.935.470,16 €",15.068.000,"2,80%",31 mag 2026
FRTR,French Republic Government Bond OAT,"0,5127%","14.469.492,74 €",15.352.000,"1,00%",25 mag 2027
SPGB,Spain Government Bond,"0,5077%","14.329.629,52 €",14.482.000,"3,15%",30 apr 2033
OBL,Bundesobligation,"0,4976%","14.043.493,91 €",14.730.000,"1,30%",15 ott 2027
FRTR,French Republic Government Bond OAT,"0,493%","13.914.489,64 €",12.164.630,"4,50%",25 apr 2041
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4838%","13.653.342,27 €",18.660.800,"1,25%",15 ago 2048
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4741%","13.380.922,36 €",11.813.000,"4,00%",04 gen 2037
FRTR,French Republic Government Bond OAT,"0,4727%","13.342.573,56 €",16.910.000,,25 mag 2032
SPGB,Spain Government Bond,"0,4645%","13.111.276,22 €",14.693.000,"0,80%",30 lug 2029
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4644%","13.105.881,17 €",13.132.653,"2,60%",15 ago 2033
SPGB,Spain Government Bond,"0,4632%","13.072.957,77 €",14.643.000,"1,25%",31 ott 2030
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4589%","12.953.146,58 €",13.811.000,,15 ago 2026
FRTR,French Republic Government Bond OAT,"0,4433%","12.512.492,04 €",10.941.000,"4,75%",25 apr 2035
BTPS,Italy Buoni Poliennali Del Tesoro,"0,4431%","12.505.619,11 €",13.514.000,"3,85%",01 set 2049
OBL,Bundesobligation,"0,443%","12.503.208,82 €",13.552.000,,16 apr 2027
BTPS,Italy Buoni Poliennali Del Tesoro,"0,4418%","12.468.052,91 €",12.200.000,"4,00%",15 nov 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,4395%","12.403.484,80 €",10.851.000,"5,75%",01 feb 2033
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4333%","12.230.224,60 €",14.684.000,,15 ago 2031
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4227%","11.930.681,62 €",10.085.837,"4,75%",04 lug 2034
SPGB,Spain Government Bond,"0,4226%","11.926.858,79 €",12.961.000,,31 gen 2027
BTPS,Italy Buoni Poliennali Del Tesoro,"0,4222%","11.914.906,99 €",11.741.000,"4,45%",01 set 2043
OBL,Bundesobligation,"0,4219%","11.907.378,25 €",12.425.184,,10 ott 2025
SPGB,Spain Government Bond,"0,4212%","11.888.996,66 €",12.657.000,"1,40%",30 apr 2028
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4197%","11.844.332,08 €",12.672.646,"1,70%",15 ago 2032
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,4168%","11.764.320,51 €",12.400.800,"2,50%",15 ago 2046
SPGB,Spain Government Bond,"0,4099%","11.569.788,86 €",11.850.000,"1,95%",30 apr 2026
BTPS,Italy Buoni Poliennali Del Tesoro,"0,4013%","11.326.112,76 €",11.327.000,"3,50%",15 gen 2026
FRTR,French Republic Government Bond OAT,"0,3992%","11.268.211,56 €",11.560.330,"2,50%",25 mag 2030
FRTR,French Republic Government Bond OAT,"0,392%","11.065.034,57 €",11.996.261,"2,00%",25 nov 2032
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3742%","10.562.452,45 €",10.300.000,"4,20%",01 mar 2034
BTPS,BTPS 5 09/01/40,"0,3737%","10.546.232,72 €",9.711.000,"5,00%",01 set 2040
SPGB,Spain Government Bond,"0,3737%","10.545.788,55 €",10.303.000,"3,90%",30 lug 2039
FRTR,French Republic Government Bond OAT,"0,371%","10.470.879,36 €",11.224.000,"0,25%",25 nov 2026
NETHER,Netherlands Government Bond,"0,3678%","10.379.627,22 €",11.824.000,,15 gen 2029
FRTR,French Republic Government Bond OAT,"0,3631%","10.246.701,85 €",10.551.474,"3,25%",25 mag 2045
FRTR,French Republic Government Bond OAT,"0,362%","10.217.368,91 €",10.562.000,"1,00%",25 nov 2025
SPGB,Spain Government Bond,"0,3606%","10.176.100,75 €",10.732.000,,31 gen 2026
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3551%","10.022.664,50 €",9.895.000,"4,50%",01 ott 2053
SPGB,Spain Government Bond,"0,355%","10.019.033,52 €",10.801.000,"1,45%",30 apr 2029
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3509%","9.904.493,20 €",11.450.000,"1,65%",01 mar 2032
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3498%","9.873.723,87 €",9.044.000,"5,00%",01 ago 2034
FRTR,French Republic Government Bond OAT,"0,3489%","9.847.980,79 €",12.221.353,"1,25%",25 mag 2036
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3479%","9.819.277,40 €",11.369.471,,15 feb 2030
SPGB,Spain Government Bond,"0,3469%","9.791.571,78 €",10.296.000,"3,45%",30 lug 2043
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3441%","9.712.739,21 €",8.935.000,"5,00%",01 ago 2039
PGB,Portugal Obrigacoes do Tesouro OT,"0,343%","9.681.934,26 €",10.403.000,"0,70%",15 ott 2027
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3426%","9.670.081,25 €",11.977.198,"1,80%",15 ago 2053
FRTR,French Republic Government Bond OAT,"0,3425%","9.666.100,56 €",10.742.748,"3,00%",25 mag 2054
SPGB,Spain Government Bond,"0,3413%","9.632.496,88 €",8.552.000,"6,00%",31 gen 2029
SPGB,Spain Government Bond,"0,3397%","9.586.256,68 €",9.423.000,"3,55%",31 ott 2033
SPGB,Spain Government Bond,"0,3392%","9.573.693,20 €",10.000.000,"1,30%",31 ott 2026
,Italy Buoni Poliennali Del Tesoro,"0,3385%","9.553.792,85 €",9.640.000,"4,15%",01 ott 2039
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3383%","9.549.458,93 €",7.642.122,"4,75%",04 lug 2040
SPGB,Spain Government Bond,"0,3381%","9.543.228,08 €",9.050.000,"5,90%",30 lug 2026
FRTR,FRTR 3 1/2 04/25/26,"0,3373%","9.520.982,63 €",9.469.000,"3,50%",25 apr 2026
IRISH,Ireland Government Bond,"0,3354%","9.466.619,26 €",10.253.800,"0,20%",15 mag 2027
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3304%","9.325.285,17 €",12.455.081,,15 mag 2035
SPGB,Spain Government Bond,"0,33%","9.313.437,02 €",10.800.000,"0,50%",30 apr 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3295%","9.299.905,56 €",10.054.000,"0,95%",15 set 2027
FRTR,French Republic Government Bond OAT,"0,3266%","9.217.655,98 €",8.501.000,"4,00%",25 apr 2055
,Bundesschatzanweisungen,"0,3248%","9.166.313,83 €",9.200.000,"2,90%",18 giu 2026
,Spain Government Bond,"0,3242%","9.149.228,51 €",9.120.000,"3,45%",31 ott 2034
FRTR,French Republic Government Bond OAT,"0,3241%","9.147.076,89 €",13.767.000,"1,50%",25 mag 2050
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3237%","9.135.633,70 €",8.621.000,"3,25%",04 lug 2042
FRTR,French Republic Government Bond OAT,"0,3235%","9.129.927,46 €",11.972.786,"2,00%",25 mag 2048
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3235%","9.129.294,72 €",7.754.000,"4,25%",04 lug 2039
,Spain Government Bond,"0,3223%","9.096.318,99 €",9.522.000,"1,50%",30 apr 2027
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3209%","9.056.333,80 €",9.348.000,"2,80%",15 giu 2029
SPGB,Spain Government Bond,"0,3175%","8.962.214,48 €",10.206.000,"0,60%",31 ott 2029
SPGB,Spain Government Bond,"0,3175%","8.961.704,66 €",8.800.000,"3,50%",31 mag 2029
,French Republic Government Bond OAT,"0,3161%","8.922.846,15 €",9.039.650,"2,75%",25 feb 2030
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3146%","8.878.863,12 €",9.272.400,"0,50%",15 feb 2026
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3125%","8.819.813,29 €",10.090.000,,15 ago 2029
SPGB,Spain Government Bond,"0,3122%","8.812.218,39 €",10.643.000,"0,70%",30 apr 2032
BTPS,Italy Buoni Poliennali Del Tesoro,"0,3111%","8.781.611,25 €",8.643.000,"3,85%",15 dic 2029
SPGB,Spain Government Bond,"0,3106%","8.765.383,39 €",10.762.000,"0,10%",30 apr 2031
