Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
005930,Samsung Electronics Co. Ltd.,"8,5765%",Telecommunications Equipment,KR,"125.233.637,64 USD",2.359.078
BHP,BHP Group Ltd.,"5,0552%",General Mining,AU,"73.816.709,52 USD",2.493.692
CBA,Commonwealth Bank of Australia,"4,5516%",Banks,AU,"66.462.696,99 USD",836.008
CSL,CSL Ltd.,"3,0451%",Pharmaceuticals,AU,"44.464.781,72 USD",238.698
1299,AIA Group Ltd.,"2,9803%",Life Insurance,HK,"43.517.725,78 USD",5.632.000
000660,SK Hynix Inc.,"2,496%",Semiconductors,KR,"36.447.117,40 USD",266.717
NAB,National Australia Bank Ltd.,"2,4028%",Banks,AU,"35.085.167,16 USD",1.555.756
WBC,Westpac Banking Corp.,"2,0465%",Banks,AU,"29.882.971,59 USD",1.729.539
ANZ,ANZ Group Holdings Ltd.,"1,9155%",Banks,AU,"27.970.412,94 USD",1.488.765
D05,DBS Group Holdings Ltd.,"1,8046%",Banks,SG,"26.350.953,02 USD",989.680
WES,Wesfarmers Ltd.,"1,6575%",Diversified Retailers,AU,"24.202.929,35 USD",560.836
MQG,Macquarie Group Ltd.,"1,5654%",Investment Services,AU,"22.858.559,38 USD",180.001
388,Hong Kong Exchanges & Clearing Ltd.,"1,4493%",Investment Services,HK,"21.162.801,10 USD",630.000
GMG,Goodman Group,"1,396%",Diversified REITs,AU,"20.385.108,42 USD",914.439
O39,Oversea-Chinese Banking Corp. Ltd.,"1,2789%",Banks,SG,"18.675.015,15 USD",1.739.698
005935,Samsung Electronics Co. Ltd. Preference Shares,"1,2168%",Telecommunications Equipment,KR,"17.768.368,06 USD",407.980
WDS,Woodside Energy Group Ltd.,"1,1818%",Oil: Crude Producers,AU,"17.257.068,33 USD",936.770
RIO,Rio Tinto Ltd.,"1,0802%",General Mining,AU,"15.772.926,63 USD",183.909
U11,United Overseas Bank Ltd.,"0,938%",Banks,SG,"13.696.846,19 USD",601.300
FMG,Fortescue Ltd.,"0,8876%",Iron and Steel,AU,"12.960.638,42 USD",787.721
TCL,Transurban Group,"0,8701%",Transportation Services,AU,"12.705.893,94 USD",1.527.192
WOW,Woolworths Group Ltd.,"0,8688%",Food Retailers and Wholesalers,AU,"12.686.852,81 USD",603.688
005380,Hyundai Motor Co.,"0,8506%",Automobiles,KR,"12.420.215,95 USD",67.970
105560,KB Financial Group Inc.,"0,7421%",Banks,KR,"10.835.859,16 USD",188.952
068270,Celltrion Inc.,"0,7206%",Biotechnology,KR,"10.522.749,77 USD",82.686
000270,Kia Corp.,"0,7033%",Automobiles,KR,"10.269.836,12 USD",120.808
005490,POSCO Holdings Inc.,"0,6751%",Iron and Steel,KR,"9.858.034,02 USD",36.989
ALL,Aristocrat Leisure Ltd.,"0,6575%",Casinos and Gambling,AU,"9.600.966,10 USD",321.310
QBE,QBE Insurance Group Ltd.,"0,5988%",Property and Casualty Insurance,AU,"8.743.346,73 USD",738.590
