Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
UKT,United Kingdom Gilt,"4,79%","14.183.331,42 €",14.442.937,"3,50%",22 ott 2025
UKT,United Kingdom Gilt,"4,1609%","12.320.543,68 €",12.249.491,"4,50%",07 giu 2028
UKT,United Kingdom Gilt,"3,9393%","11.664.251,23 €",11.783.353,"4,13%",29 gen 2027
UKT,United Kingdom Gilt,"3,2284%","9.559.461,79 €",10.298.475,"3,25%",31 gen 2033
UKT,United Kingdom Gilt,"2,9124%","8.623.548,65 €",8.414.000,"4,63%",31 gen 2034
UKT,United Kingdom Gilt,"2,851%","8.441.883,72 €",10.657.000,"1,00%",31 gen 2032
UKT,United Kingdom Gilt,"2,5077%","7.425.362,54 €",8.160.000,"0,38%",22 ott 2026
UKT,United Kingdom Gilt,"2,3918%","7.082.232,38 €",8.395.809,"3,75%",22 ott 2053
,United Kingdom Gilt,"2,3849%","7.061.781,43 €",7.210.000,"3,75%",07 mar 2027
UKT,United Kingdom Gilt,"2,3411%","6.932.002,36 €",8.203.360,"0,50%",31 gen 2029
UKT,United Kingdom Gilt,"2,1878%","6.478.138,49 €",6.444.500,"4,25%",07 giu 2032
UKT,United Kingdom Gilt,"2,1797%","6.454.004,46 €",6.993.000,"3,75%",29 gen 2038
UKT,United Kingdom Gilt,"2,1546%","6.379.720,20 €",6.172.000,"4,75%",07 dic 2030
UKT,United Kingdom Gilt,"2,1488%","6.362.565,79 €",8.370.524,"0,25%",31 lug 2031
UKT,United Kingdom Gilt,"2,0662%","6.118.021,97 €",8.213.695,"0,88%",31 lug 2033
UKT,United Kingdom Gilt,"2,0042%","5.934.376,31 €",6.056.500,"4,50%",07 dic 2042
UKT,United Kingdom Gilt,"1,8241%","5.401.256,04 €",6.628.303,"3,25%",22 gen 2044
UKT,United Kingdom Gilt,"1,8123%","5.366.199,03 €",5.443.701,"4,25%",07 mar 2036
UKT,United Kingdom Gilt,"1,776%","5.258.778,66 €",6.258.500,"3,50%",22 gen 2045
UKT,United Kingdom Gilt,"1,727%","5.113.591,67 €",5.002.000,"4,75%",07 dic 2038
UKT,United Kingdom Gilt,"1,6989%","5.030.508,21 €",5.385.646,"4,25%",07 dic 2046
UKT,United Kingdom Gilt,"1,6837%","4.985.496,04 €",4.955.000,"4,75%",22 ott 2043
UKT,United Kingdom Gilt,"1,6773%","4.966.495,25 €",5.381.555,"4,25%",07 dic 2055
UKT,United Kingdom Gilt,"1,6301%","4.826.810,29 €",4.763.305,"4,50%",07 set 2034
UKT,United Kingdom Gilt,"1,5376%","4.552.849,23 €",6.234.000,"1,75%",07 set 2037
UKT,United Kingdom Gilt,"1,5256%","4.517.241,76 €",4.714.329,"4,25%",07 dic 2040
UKT,United Kingdom Gilt,"1,5255%","4.517.075,57 €",4.524.500,"4,25%",07 dic 2027
