Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
MSFT,Microsoft Corp.,"4,6048%",Software,US,"250.127.033,51 USD",602.527
AAPL,Apple Inc.,"4,1791%",Computer Hardware,US,"227.003.801,50 USD",1.180.774
NVDA,NVIDIA Corp.,"3,8828%",Semiconductors,US,"210.909.772,74 USD",192.378
AMZN,Amazon.com Inc.,"2,3696%",Diversified Retailers,US,"128.712.627,12 USD",729.498
META,Facebook Inc. Class A,"1,5393%",Consumer Digital Services,US,"83.614.388,13 USD",179.111
GOOGL,Alphabet Inc. Class A,"1,5267%",Consumer Digital Services,US,"82.929.030,00 USD",480.748
GOOG,Alphabet Inc. Class C,"1,3033%",Consumer Digital Services,US,"70.796.327,24 USD",406.969
LLY,Eli Lilly & Co.,"1,0348%",Pharmaceuticals,US,"56.208.056,12 USD",68.518
JPM,JPMorgan Chase & Co.,"0,8709%",Banks,US,"47.308.228,73 USD",233.471
AVGO,Broadcom Inc.,"0,8533%",Semiconductors,US,"46.351.780,95 USD",34.889
BRK.B,Berkshire Hathaway Inc. Class B,"0,8038%",Diversified Financial Services,US,"43.659.940,80 USD",105.357
XOM,Exxon Mobil Corp.,"0,7923%",Integrated Oil and Gas,US,"43.035.358,08 USD",367.008
TSLA,Tesla Inc.,"0,7328%",Automobiles,US,"39.804.797,76 USD",223.522
UNH,UnitedHealth Group Inc.,"0,6864%",Health Care Management Services,US,"37.282.536,94 USD",75.262
V,Visa Inc. Class A,"0,647%",Transaction Processing Services,US,"35.146.522,62 USD",128.997
NOVO B,Novo Nordisk A/S Class B,"0,6226%",Pharmaceuticals,DK,"33.819.517,85 USD",250.581
PG,Procter & Gamble Co.,"0,5761%",Personal Products,US,"31.292.546,28 USD",190.182
ASML,ASML Holding NV,"0,5557%",Production Technology Equipment,NL,"30.182.830,59 USD",31.928
MA,Mastercard Inc. Class A,"0,5527%",Transaction Processing Services,US,"30.023.432,92 USD",67.156
COST,Costco Wholesale Corp.,"0,5347%",Diversified Retailers,US,"29.044.275,18 USD",35.862
JNJ,Johnson & Johnson,"0,5265%",Pharmaceuticals,US,"28.598.009,94 USD",194.982
HD,Home Depot Inc.,"0,4991%",Home Improvement Retailers,US,"27.110.740,33 USD",80.959
MRK,Merck & Co. Inc.,"0,4751%",Pharmaceuticals,US,"25.806.504,56 USD",205.564
ABBV,AbbVie Inc.,"0,4242%",Pharmaceuticals,US,"23.040.067,32 USD",142.893
NESN,Nestle SA,"0,4216%",Food Products,CH,"22.901.139,63 USD",216.202
WMT,Walmart Inc.,"0,4191%",Diversified Retailers,US,"22.763.481,60 USD",346.160
CVX,Chevron Corp.,"0,416%",Integrated Oil and Gas,US,"22.598.814,30 USD",139.241
BAC,Bank of America Corp.,"0,4106%",Banks,US,"22.305.822,15 USD",557.785
NFLX,Netflix Inc.,"0,4083%",Entertainment,US,"22.179.520,16 USD",34.568
AMD,Advanced Micro Devices Inc.,"0,3989%",Semiconductors,US,"21.667.124,90 USD",129.821
7203,Toyota Motor Corp.,"0,3843%",Automobiles,JP,"20.872.394,41 USD",964.420
005930,Samsung Electronics Co. Ltd.,"0,3781%",Telecommunications Equipment,KR,"20.535.938,75 USD",386.844
KO,Coca-Cola Co.,"0,3647%",Soft Drinks,US,"19.809.545,91 USD",314.787
PEP,PepsiCo Inc.,"0,3553%",Soft Drinks,US,"19.297.023,20 USD",111.608
SHEL,Shell plc,"0,3463%",Integrated Oil and Gas,GB,"18.811.308,14 USD",525.514
AZN,AstraZeneca plc,"0,3422%",Pharmaceuticals,GB,"18.585.257,97 USD",119.748
QCOM,QUALCOMM Inc.,"0,3388%",Semiconductors,US,"18.404.697,85 USD",90.197
CRM,Salesforce Inc.,"0,3271%",Software,US,"17.766.332,08 USD",75.782
TMO,Thermo Fisher Scientific Inc.,"0,3264%",Medical Equipment,US,"17.732.335,60 USD",31.220
BRK.A,Berkshire Hathaway Inc. Class A,"0,3234%",Diversified Financial Services,US,"17.567.200,00 USD",28
WFC,Wells Fargo & Co.,"0,3214%",Banks,US,"17.457.692,00 USD",291.350
NOVN,Novartis AG,"0,3183%",Pharmaceuticals,CH,"17.287.493,92 USD",167.392
LIN,Linde plc,"0,3145%",Chemicals: Diversified,IE,"17.084.143,04 USD",39.227
ADBE,Adobe Inc.,"0,2994%",Software,US,"16.263.538,92 USD",36.567
MC,LVMH Moet Hennessy Louis Vuitton SE,"0,2949%",Clothing and Accessories,FR,"16.020.771,07 USD",20.081
SAP,SAP SE,"0,2943%",Software,DE,"15.988.306,65 USD",88.742
DIS,Walt Disney Co.,"0,2837%",Entertainment,US,"15.409.437,36 USD",148.296
MCD,McDonald's Corp.,"0,2817%",Restaurants and Bars,US,"15.301.434,56 USD",59.104
CSCO,Cisco Systems Inc./Delaware,"0,2807%",Telecommunications Equipment,US,"15.246.885,00 USD",327.890
ORCL,Oracle Corp.,"0,2694%",Software,US,"14.635.741,91 USD",124.889
AMAT,Applied Materials Inc.,"0,2677%",Production Technology Equipment,US,"14.540.053,24 USD",67.603
GE,General Electric Co.,"0,2668%",Diversified Industrials,US,"14.489.713,88 USD",87.742
ACN,Accenture plc Class A,"0,2655%",Professional Business Support Services,IE,"14.421.349,23 USD",51.087
ROG,Roche Holding AG,"0,2636%",Pharmaceuticals,CH,"14.316.033,92 USD",55.910
TXN,Texas Instruments Inc.,"0,2631%",Semiconductors,US,"14.293.257,95 USD",73.295
ABT,Abbott Laboratories,"0,2629%",Medical Equipment,US,"14.282.994,11 USD",139.769
VZ,Verizon Communications Inc.,"0,2582%",Telecommunications Services,US,"14.026.224,40 USD",340.856
