Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
7203,Toyota Motor Corp.,"5,677%",Automobiles,JP,"185.105.990,77 USD",8.552.920
8306,Mitsubishi UFJ Financial Group Inc.,"2,5788%",Banks,JP,"84.085.378,47 USD",7.969.600
6758,Sony Group Corp.,"2,2242%",Consumer Electronics,JP,"72.522.835,60 USD",883.800
8035,Tokyo Electron Ltd.,"2,0622%",Production Technology Equipment,JP,"67.240.739,44 USD",314.200
6501,Hitachi Ltd.,"1,9996%",Diversified Industrials,JP,"65.198.491,84 USD",634.600
6861,Keyence Corp.,"1,9149%",Electronic Equipment: Gauges and Meters,JP,"62.437.697,67 USD",138.800
8316,Sumitomo Mitsui Financial Group Inc.,"1,8012%",Banks,JP,"58.729.841,87 USD",896.900
8058,Mitsubishi Corp.,"1,7464%",Diversified Industrials,JP,"56.944.144,58 USD",2.709.200
8031,Mitsui & Co. Ltd.,"1,6219%",Industrial Suppliers,JP,"52.883.127,05 USD",1.042.700
6098,Recruit Holdings Co. Ltd.,"1,5834%",Business Training and Employment Agencie,JP,"51.627.582,02 USD",1.020.762
4063,Shin-Etsu Chemical Co. Ltd.,"1,56%",Chemicals: Diversified,JP,"50.865.417,29 USD",1.365.200
4568,Daiichi Sankyo Co. Ltd.,"1,465%",Pharmaceuticals,JP,"47.766.805,18 USD",1.345.700
8766,Tokio Marine Holdings Inc.,"1,407%",Property and Casualty Insurance,JP,"45.875.905,06 USD",1.327.900
8001,ITOCHU Corp.,"1,3718%",Diversified Industrials,JP,"44.730.191,86 USD",948.600
7974,Nintendo Co. Ltd.,"1,2455%",Electronic Entertainment,JP,"40.612.364,38 USD",746.000
9984,SoftBank Group Corp.,"1,2234%",Telecommunications Services,JP,"39.891.938,02 USD",693.300
7267,Honda Motor Co. Ltd.,"1,1864%",Automobiles,JP,"38.684.538,87 USD",3.435.480
8411,Mizuho Financial Group Inc.,"1,1393%",Banks,JP,"37.149.418,18 USD",1.816.380
9433,KDDI Corp.,"0,9369%",Telecommunications Services,JP,"30.549.017,15 USD",1.106.900
7741,Hoya Corp.,"0,9095%",Medical Supplies,JP,"29.655.222,88 USD",244.500
4502,Takeda Pharmaceutical Co. Ltd.,"0,8875%",Pharmaceuticals,JP,"28.937.084,22 USD",1.089.700
9983,Fast Retailing Co. Ltd.,"0,8687%",Apparel Retailers,JP,"28.325.731,01 USD",110.700
6367,Daikin Industries Ltd.,"0,8526%",Building: Climate Control,JP,"27.800.617,26 USD",190.400
6503,Mitsubishi Electric Corp.,"0,7414%",Diversified Industrials,JP,"24.175.557,61 USD",1.391.600
2914,Japan Tobacco Inc.,"0,737%",Tobacco,JP,"24.029.949,41 USD",848.200
6902,Denso Corp.,"0,7292%",Auto Parts,JP,"23.775.241,60 USD",1.469.194
9434,SoftBank Corp.,"0,725%",Telecommunications Services,JP,"23.639.098,29 USD",1.968.088
6146,Disco Corp.,"0,7056%",Production Technology Equipment,JP,"23.008.126,25 USD",58.800
6981,Murata Manufacturing Co. Ltd.,"0,6972%",Electronic Components,JP,"22.733.419,60 USD",1.204.262
8002,Marubeni Corp.,"0,6968%",Industrial Suppliers,JP,"22.720.468,36 USD",1.166.800
4661,Oriental Land Co. Ltd./Japan,"0,661%",Recreational Services,JP,"21.551.840,66 USD",772.000
3382,Seven & i Holdings Co. Ltd.,"0,6541%",Food Retailers and Wholesalers,JP,"21.327.263,36 USD",1.652.600
6723,Renesas Electronics Corp.,"0,6262%",Semiconductors,JP,"20.417.330,19 USD",1.092.807
8053,Sumitomo Corp.,"0,6248%",Industrial Suppliers,JP,"20.373.187,18 USD",784.500
6273,SMC Corp.,"0,6137%",Machinery: Industrial,JP,"20.010.302,59 USD",39.900
8725,MS&AD Insurance Group Holdings Inc.,"0,6125%",Property and Casualty Insurance,JP,"19.972.666,01 USD",956.600
9432,Nippon Telegraph & Telephone Corp.,"0,6048%",Telecommunications Services,JP,"19.719.705,94 USD",20.083.300
7751,Canon Inc.,"0,5988%",Electronic Office Equipment,JP,"19.523.675,59 USD",674.000
6301,Komatsu Ltd.,"0,588%",Machinery: Construction and Handling,JP,"19.172.571,83 USD",655.400
6954,FANUC Corp.,"0,5862%",Machinery: Industrial,JP,"19.113.794,27 USD",682.800
6594,NIDEC Corp.,"0,567%",Electrical Components,JP,"18.486.411,91 USD",370.400
6702,Fujitsu Ltd.,"0,5629%",Computer Services,JP,"18.353.564,54 USD",1.271.400
8591,ORIX Corp.,"0,5548%",Diversified Financial Services,JP,"18.090.925,58 USD",831.500
6857,Advantest Corp.,"0,5474%",Production Technology Equipment,JP,"17.847.142,76 USD",527.873
7011,Mitsubishi Heavy Industries Ltd.,"0,5464%",Machinery: Industrial,JP,"17.814.599,26 USD",2.046.400
8750,Dai-ichi Life Holdings Inc.,"0,5426%",Life Insurance,JP,"17.693.253,36 USD",660.900
8801,Mitsui Fudosan Co. Ltd.,"0,5395%",Real Estate Holding and Development,JP,"17.589.967,55 USD",1.918.900
5108,Bridgestone Corp.,"0,5357%",Tires,JP,"17.467.256,36 USD",401.300
4543,Terumo Corp.,"0,5349%",Medical Equipment,JP,"17.442.629,42 USD",1.026.600
4901,FUJIFILM Holdings Corp.,"0,5318%",Electronic Office Equipment,JP,"17.338.717,11 USD",761.300
6920,Lasertec Corp.,"0,486%",Production Technology Equipment,JP,"15.846.097,55 USD",61.500
7269,Suzuki Motor Corp.,"0,4708%",Automobiles,JP,"15.349.609,60 USD",1.294.400
9022,Central Japan Railway Co.,"0,4444%",Railroads,JP,"14.488.748,26 USD",648.486
4452,Kao Corp.,"0,437%",Personal Products,JP,"14.249.825,32 USD",325.100
4519,Chugai Pharmaceutical Co. Ltd.,"0,4342%",Pharmaceuticals,JP,"14.156.347,96 USD",465.300
4578,Otsuka Holdings Co. Ltd.,"0,433%",Pharmaceuticals,JP,"14.118.424,39 USD",342.700
8630,Sompo Holdings Inc.,"0,4247%",Property and Casualty Insurance,JP,"13.846.320,28 USD",654.400
6701,NEC Corp.,"0,4177%",Computer Hardware,JP,"13.619.030,20 USD",184.100
6752,Panasonic Holdings Corp.,"0,4122%",Consumer Electronics,JP,"13.441.902,70 USD",1.526.800
9020,East Japan Railway Co.,"0,4113%",Railroads,JP,"13.412.580,10 USD",772.200
8802,Mitsubishi Estate Co. Ltd.,"0,3997%",Real Estate Holding and Development,JP,"13.032.473,51 USD",775.900
8604,Nomura Holdings Inc.,"0,3978%",Investment Services,JP,"12.972.333,51 USD",2.144.700
6762,TDK Corp.,"0,3939%",Electronic Components,JP,"12.844.774,57 USD",257.100
5401,Nippon Steel Corp.,"0,3906%",Iron and Steel,JP,"12.734.686,67 USD",583.098
7733,Olympus Corp.,"0,39%",Medical Equipment,JP,"12.715.343,56 USD",807.824
4503,Astellas Pharma Inc.,"0,3895%",Pharmaceuticals,JP,"12.699.779,18 USD",1.288.800
6178,Japan Post Holdings Co. Ltd.,"0,3743%",Life Insurance,JP,"12.204.202,55 USD",1.265.894
2502,Asahi Group Holdings Ltd.,"0,3639%",Brewers,JP,"11.866.620,88 USD",324.818
8309,Sumitomo Mitsui Trust Holdings Inc.,"0,3599%",Banks,JP,"11.734.936,52 USD",506.200
2802,Ajinomoto Co. Inc.,"0,3579%",Food Products,JP,"11.670.469,95 USD",327.200
1925,Daiwa House Industry Co. Ltd.,"0,3518%",Home Construction,JP,"11.469.327,69 USD",431.700
8267,Aeon Co. Ltd.,"0,3364%",Food Retailers and Wholesalers,JP,"10.968.495,98 USD",508.900
8308,Resona Holdings Inc.,"0,3333%",Banks,JP,"10.868.930,58 USD",1.575.644
6201,Toyota Industries Corp.,"0,3316%",Auto Parts,JP,"10.811.925,29 USD",114.800
5020,ENEOS Holdings Inc.,"0,3179%",Oil Refining and Marketing,JP,"10.364.837,82 USD",2.009.850
7182,Japan Post Bank Co. Ltd.,"0,3138%",Banks,JP,"10.231.289,90 USD",1.035.284
9101,Nippon Yusen KK,"0,3115%",Marine Transportation,JP,"10.157.478,76 USD",320.200
6326,Kubota Corp.,"0,3039%",Machinery: Agricultural,JP,"9.907.543,99 USD",701.000
6971,Kyocera Corp.,"0,299%",Electronic Components,JP,"9.748.017,44 USD",857.700
8015,Toyota Tsusho Corp.,"0,2977%",Diversified Industrials,JP,"9.706.233,73 USD",159.900
7270,Subaru Corp.,"0,2945%",Automobiles,JP,"9.603.869,04 USD",431.200
1605,Inpex Corp.,"0,289%",Oil: Crude Producers,JP,"9.424.422,35 USD",611.100
9503,Kansai Electric Power Co. Inc.,"0,2879%",Conventional Electricity,JP,"9.385.957,56 USD",519.900
9735,Secom Co. Ltd.,"0,2811%",Security Services,JP,"9.166.011,01 USD",147.400
8113,Unicharm Corp.,"0,2721%",Personal Products,JP,"8.871.271,76 USD",276.000
1928,Sekisui House Ltd.,"0,2701%",Home Construction,JP,"8.808.366,79 USD",391.900
8830,Sumitomo Realty & Development Co. Ltd.,"0,2701%",Real Estate Holding and Development,JP,"8.807.896,53 USD",282.300
4911,Shiseido Co. Ltd.,"0,2694%",Cosmetics,JP,"8.784.541,03 USD",277.700
8697,Japan Exchange Group Inc.,"0,2692%",Investment Services,JP,"8.777.251,58 USD",374.200
7309,Shimano Inc.,"0,2687%",Recreational Products,JP,"8.762.505,97 USD",53.600
5802,Sumitomo Electric Industries Ltd.,"0,267%",Auto Parts,JP,"8.706.466,32 USD",537.700
4523,Eisai Co. Ltd.,"0,2504%",Pharmaceuticals,JP,"8.164.879,57 USD",190.000
4307,Nomura Research Institute Ltd.,"0,2445%",Computer Services,JP,"7.972.284,27 USD",298.003
8601,Daiwa Securities Group Inc.,"0,2418%",Investment Services,JP,"7.884.815,93 USD",1.004.100
4507,Shionogi & Co. Ltd.,"0,2418%",Pharmaceuticals,JP,"7.884.692,48 USD",176.000
9104,Mitsui OSK Lines Ltd.,"0,241%",Marine Transportation,JP,"7.857.894,30 USD",238.200
6988,Nitto Denko Corp.,"0,2371%",Specialty Chemicals,JP,"7.732.307,74 USD",101.300
7832,Bandai Namco Holdings Inc.,"0,2336%",Toys,JP,"7.618.279,93 USD",418.300
2801,Kikkoman Corp.,"0,2308%",Food Products,JP,"7.525.100,38 USD",650.100
7532,Pan Pacific International Holdings Corp.,"0,2254%",Diversified Retailers,JP,"7.349.808,78 USD",286.100
2503,Kirin Holdings Co. Ltd.,"0,2253%",Brewers,JP,"7.346.654,36 USD",530.800
6506,Yaskawa Electric Corp.,"0,2162%",Machinery: Industrial,JP,"7.048.235,71 USD",185.000
6869,Sysmex Corp.,"0,2126%",Medical Equipment,JP,"6.932.989,91 USD",406.600
9613,NTT Data Group Corp.,"0,2115%",Computer Services,JP,"6.895.441,47 USD",449.900
9502,Chubu Electric Power Co. Inc.,"0,2109%",Conventional Electricity,JP,"6.876.771,13 USD",498.800
7936,Asics Corp.,"0,208%",Footwear,JP,"6.781.952,97 USD",122.500
9501,Tokyo Electric Power Co. Holdings Inc.,"0,204%",Conventional Electricity,JP,"6.650.654,36 USD",1.112.300
9021,West Japan Railway Co.,"0,2022%",Railroads,JP,"6.592.346,02 USD",330.132
9532,Osaka Gas Co. Ltd.,"0,1964%",Gas Distribution,JP,"6.403.209,77 USD",281.700
8795,T&D Holdings Inc.,"0,196%",Life Insurance,JP,"6.390.166,41 USD",355.400
5411,JFE Holdings Inc.,"0,1953%",Iron and Steel,JP,"6.367.764,80 USD",420.800
4684,Obic Co. Ltd.,"0,1908%",Computer Services,JP,"6.220.496,99 USD",48.000
7272,Yamaha Motor Co. Ltd.,"0,1906%",Recreational Vehicles and Boats,JP,"6.216.013,87 USD",637.400
6479,MINEBEA MITSUMI Inc.,"0,1878%",Electrical Components,JP,"6.122.172,52 USD",292.600
9531,Tokyo Gas Co. Ltd.,"0,1799%",Gas Distribution,JP,"5.865.840,47 USD",261.500
9843,Nitori Holdings Co. Ltd.,"0,1783%",Home Improvement Retailers,JP,"5.814.133,44 USD",52.600
3407,Asahi Kasei Corp.,"0,177%",Chemicals: Diversified,JP,"5.771.882,66 USD",884.900
1802,Obayashi Corp.,"0,1719%",Construction,JP,"5.604.513,67 USD",481.400
5713,Sumitomo Metal Mining Co. Ltd.,"0,1682%",Nonferrous Metals,JP,"5.484.600,21 USD",168.500
7202,Isuzu Motors Ltd.,"0,1682%",Commercial Vehicles and Parts,JP,"5.483.198,96 USD",410.900
5019,Idemitsu Kosan Co. Ltd.,"0,1667%",Integrated Oil and Gas,JP,"5.434.544,08 USD",795.910
7735,SCREEN Holdings Co. Ltd.,"0,1666%",Production Technology Equipment,JP,"5.431.190,30 USD",56.880
3402,Toray Industries Inc.,"0,1663%",Chemicals and Synthetic Fibers,JP,"5.423.017,60 USD",1.084.500
6504,Fuji Electric Co. Ltd.,"0,1641%",Electrical Components,JP,"5.351.743,99 USD",89.985
7912,Dai Nippon Printing Co. Ltd.,"0,1626%",Forms and Bulk Printing Services,JP,"5.302.175,70 USD",170.600
3099,Isetan Mitsukoshi Holdings Ltd.,"0,1589%",Diversified Retailers,JP,"5.181.658,34 USD",249.700
4755,Rakuten Group Inc.,"0,1584%",Consumer Digital Services,JP,"5.163.577,59 USD",994.400
1812,Kajima Corp.,"0,1578%",Construction,JP,"5.146.302,46 USD",304.200
6586,Makita Corp.,"0,1572%",Machinery: Tools,JP,"5.126.976,36 USD",173.900
7701,Shimadzu Corp.,"0,1531%",Electronic Equipment: Gauges and Meters,JP,"4.993.586,81 USD",192.900
9005,Tokyu Corp.,"0,1519%",Diversified Retailers,JP,"4.952.263,83 USD",424.100
7201,Nissan Motor Co. Ltd.,"0,1505%",Automobiles,JP,"4.908.675,17 USD",1.381.400
7911,TOPPAN Holdings Inc.,"0,1501%",Forms and Bulk Printing Services,JP,"4.893.246,17 USD",188.931
4612,Nippon Paint Holdings Co. Ltd.,"0,1497%",Paints and Coatings,JP,"4.880.098,61 USD",725.528
4188,Mitsubishi Chemical Group Corp.,"0,1478%",Chemicals: Diversified,JP,"4.818.371,89 USD",911.500
6361,Ebara Corp.,"0,146%",Machinery: Industrial,JP,"4.762.085,97 USD",65.300
9766,Konami Group Corp.,"0,1459%",Electronic Entertainment,JP,"4.758.745,11 USD",68.200
9697,Capcom Co. Ltd.,"0,144%",Electronic Entertainment,JP,"4.694.034,17 USD",254.360
7186,Concordia Financial Group Ltd.,"0,1429%",Banks,JP,"4.659.619,49 USD",775.263
1801,Taisei Corp.,"0,1428%",Construction,JP,"4.655.281,43 USD",122.600
2875,Toyo Suisan Kaisha Ltd.,"0,1426%",Food Products,JP,"4.649.374,78 USD",64.600
7259,Aisin Corp.,"0,1414%",Auto Parts,JP,"4.611.154,67 USD",124.100
8331,Chiba Bank Ltd.,"0,1392%",Banks,JP,"4.537.191,13 USD",477.400
8473,SBI Holdings Inc.,"0,1381%",Investment Services,JP,"4.502.850,23 USD",174.200
9107,Kawasaki Kisen Kaisha Ltd.,"0,1361%",Marine Transportation,JP,"4.437.631,81 USD",299.100
4689,LY Corp.,"0,136%",Consumer Digital Services,JP,"4.433.890,04 USD",1.868.500
5201,AGC Inc.,"0,1356%",Glass,JP,"4.420.466,45 USD",126.600
1878,Daito Trust Construction Co. Ltd.,"0,1338%",Real Estate Holding and Development,JP,"4.362.722,33 USD",41.300
6841,Yokogawa Electric Corp.,"0,1334%",Electronic Equipment: Gauges and Meters,JP,"4.348.180,34 USD",169.300
7261,Mazda Motor Corp.,"0,1321%",Automobiles,JP,"4.308.687,84 USD",408.500
3659,Nexon Co. Ltd.,"0,1306%",Electronic Entertainment,JP,"4.259.607,69 USD",248.700
4528,Ono Pharmaceutical Co. Ltd.,"0,1305%",Pharmaceuticals,JP,"4.256.260,14 USD",294.000
6645,Omron Corp.,"0,1295%",Electrical Components,JP,"4.221.042,99 USD",129.100
2768,Sojitz Corp.,"0,1273%",Diversified Industrials,JP,"4.149.833,59 USD",158.900
2269,MEIJI Holdings Co. Ltd.,"0,1268%",Food Products,JP,"4.135.935,60 USD",184.800
9042,Hankyu Hanshin Holdings Inc.,"0,1256%",Railroads,JP,"4.095.582,42 USD",156.100
8951,Nippon Building Fund Inc.,"0,1256%",Office REITs,JP,"4.094.002,35 USD",1.096
4204,Sekisui Chemical Co. Ltd.,"0,1231%",Home Construction,JP,"4.014.381,62 USD",280.000
7012,Kawasaki Heavy Industries Ltd.,"0,122%",Diversified Industrials,JP,"3.977.593,94 USD",104.700
4324,Dentsu Group Inc.,"0,1201%",Media Agencies,JP,"3.915.973,68 USD",147.998
5803,Fujikura Ltd.,"0,1186%",Electrical Components,JP,"3.867.281,81 USD",188.500
