Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
MSFT,Microsoft Corp.,"6,9373%",Software,US,"3.609.008.208,66 USD",8.693.682
AAPL,Apple Inc.,"6,276%",Computer Hardware,US,"3.264.984.057,00 USD",16.983.012
NVDA,NVIDIA Corp.,"6,0901%",Semiconductors,US,"3.168.295.030,30 USD",2.889.910
AMZN,Amazon.com Inc.,"3,6271%",Diversified Retailers,US,"1.886.963.516,68 USD",10.694.647
META,Facebook Inc. Class A,"2,3099%",Consumer Digital Services,US,"1.201.690.911,33 USD",2.574.151
GOOGL,Alphabet Inc. Class A,"2,2859%",Consumer Digital Services,US,"1.189.221.037,50 USD",6.894.035
GOOG,Alphabet Inc. Class C,"1,9306%",Consumer Digital Services,US,"1.004.360.147,52 USD",5.773.512
BRK.B,Berkshire Hathaway Inc. Class B,"1,6957%",Diversified Financial Services,US,"882.160.216,00 USD",2.128.765
LLY,Eli Lilly & Co.,"1,4713%",Pharmaceuticals,US,"765.441.206,52 USD",933.078
JPM,JPMorgan Chase & Co.,"1,3174%",Banks,US,"685.372.672,55 USD",3.382.385
AVGO,Broadcom Inc.,"1,3145%",Semiconductors,US,"683.868.455,40 USD",514.748
XOM,Exxon Mobil Corp.,"1,1904%",Integrated Oil and Gas,US,"619.263.427,64 USD",5.281.114
TSLA,Tesla Inc.,"1,1098%",Automobiles,US,"577.356.551,52 USD",3.242.119
UNH,UnitedHealth Group Inc.,"1,0307%",Health Care Management Services,US,"536.184.029,67 USD",1.082.391
V,Visa Inc. Class A,"0,9693%",Transaction Processing Services,US,"504.243.901,68 USD",1.850.708
PG,Procter & Gamble Co.,"0,8707%",Personal Products,US,"452.993.593,14 USD",2.753.091
MA,Mastercard Inc. Class A,"0,8296%",Transaction Processing Services,US,"431.580.365,71 USD",965.353
COST,Costco Wholesale Corp.,"0,8082%",Diversified Retailers,US,"420.468.971,52 USD",519.168
JNJ,Johnson & Johnson,"0,7942%",Pharmaceuticals,US,"413.187.723,75 USD",2.817.125
HD,Home Depot Inc.,"0,7493%",Home Improvement Retailers,US,"389.809.776,81 USD",1.164.063
MRK,Merck & Co. Inc.,"0,7154%",Pharmaceuticals,US,"372.162.827,84 USD",2.964.496
ABBV,AbbVie Inc.,"0,6402%",Pharmaceuticals,US,"333.044.606,04 USD",2.065.521
WMT,Walmart Inc.,"0,6331%",Diversified Retailers,US,"329.339.758,08 USD",5.008.208
CVX,Chevron Corp.,"0,6331%",Integrated Oil and Gas,US,"329.338.348,50 USD",2.029.195
NFLX,Netflix Inc.,"0,6244%",Entertainment,US,"324.821.408,24 USD",506.252
BAC,Bank of America Corp.,"0,6192%",Banks,US,"322.153.241,55 USD",8.055.845
AMD,Advanced Micro Devices Inc.,"0,6065%",Semiconductors,US,"315.505.757,20 USD",1.890.388
KO,Coca-Cola Co.,"0,5507%",Soft Drinks,US,"286.477.497,60 USD",4.552.320
PEP,PepsiCo Inc.,"0,5345%",Soft Drinks,US,"278.053.976,20 USD",1.608.178
QCOM,QUALCOMM Inc.,"0,5122%",Semiconductors,US,"266.487.463,55 USD",1.305.991
CRM,Salesforce Inc.,"0,5104%",Software,US,"265.521.586,32 USD",1.132.578
TMO,Thermo Fisher Scientific Inc.,"0,4936%",Medical Equipment,US,"256.809.885,08 USD",452.146
WFC,Wells Fargo & Co.,"0,485%",Banks,US,"252.339.717,84 USD",4.211.277
LIN,Linde plc,"0,4749%",Chemicals: Diversified,IE,"247.053.510,72 USD",567.261
ADBE,Adobe Inc.,"0,4522%",Software,US,"235.234.453,52 USD",528.902
DIS,Walt Disney Co.,"0,4287%",Entertainment,US,"223.037.515,59 USD",2.146.449
CSCO,Cisco Systems Inc./Delaware,"0,425%",Telecommunications Equipment,US,"221.081.320,50 USD",4.754.437
MCD,McDonald's Corp.,"0,4224%",Restaurants and Bars,US,"219.733.664,17 USD",848.753
ORCL,Oracle Corp.,"0,4202%",Software,US,"218.626.851,44 USD",1.865.576
