Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
MSFT,Microsoft Corp.,"4,1191%",Software,US,"1.077.022.404,86 USD",2.594.422
AAPL,Apple Inc.,"3,7392%",Computer Hardware,US,"977.690.258,75 USD",5.085.515
NVDA,NVIDIA Corp.,"3,475%",Semiconductors,US,"908.607.606,76 USD",828.772
AMZN,Amazon.com Inc.,"2,1201%",Diversified Retailers,US,"554.360.011,92 USD",3.141.918
META,Facebook Inc. Class A,"1,3777%",Consumer Digital Services,US,"360.224.234,37 USD",771.639
GOOGL,Alphabet Inc. Class A,"1,365%",Consumer Digital Services,US,"356.921.820,00 USD",2.069.112
GOOG,Alphabet Inc. Class C,"1,1672%",Consumer Digital Services,US,"305.178.549,88 USD",1.754.303
LLY,Eli Lilly & Co.,"0,9252%",Pharmaceuticals,US,"241.919.906,68 USD",294.902
2330,Taiwan Semiconductor Manufacturing Co. Ltd.,"0,8147%",Semiconductors,TW,"213.017.997,16 USD",8.405.000
JPM,JPMorgan Chase & Co.,"0,777%",Banks,US,"203.156.230,11 USD",1.002.597
AVGO,Broadcom Inc.,"0,7644%",Semiconductors,US,"199.861.747,80 USD",150.436
XOM,Exxon Mobil Corp.,"0,7095%",Integrated Oil and Gas,US,"185.513.645,46 USD",1.582.071
BRK.B,Berkshire Hathaway Inc. Class B,"0,6993%",Diversified Financial Services,US,"182.856.486,40 USD",441.256
TSLA,Tesla Inc.,"0,6563%",Automobiles,US,"171.600.381,12 USD",963.614
UNH,UnitedHealth Group Inc.,"0,6141%",Health Care Management Services,US,"160.574.680,87 USD",324.151
V,Visa Inc. Class A,"0,5748%",Transaction Processing Services,US,"150.294.930,12 USD",551.622
NOVO B,Novo Nordisk A/S Class B,"0,5567%",Pharmaceuticals,DK,"145.567.083,51 USD",1.078.559
PG,Procter & Gamble Co.,"0,5129%",Personal Products,US,"134.105.200,74 USD",815.031
ASML,ASML Holding NV,"0,4983%",Production Technology Equipment,NL,"130.280.206,46 USD",137.813
MA,Mastercard Inc. Class A,"0,4912%",Transaction Processing Services,US,"128.432.928,39 USD",287.277
COST,Costco Wholesale Corp.,"0,4771%",Diversified Retailers,US,"124.736.828,13 USD",154.017
JNJ,Johnson & Johnson,"0,4686%",Pharmaceuticals,US,"122.525.184,60 USD",835.380
HD,Home Depot Inc.,"0,4454%",Home Improvement Retailers,US,"116.451.042,50 USD",347.750
MRK,Merck & Co. Inc.,"0,4233%",Pharmaceuticals,US,"110.683.345,32 USD",881.658
700,Tencent Holdings Ltd.,"0,3837%",Consumer Digital Services,KY,"100.318.127,71 USD",2.181.278
ABBV,AbbVie Inc.,"0,3803%",Pharmaceuticals,US,"99.436.546,76 USD",616.699
NESN,Nestle SA,"0,3771%",Food Products,CH,"98.609.996,83 USD",930.944
CVX,Chevron Corp.,"0,3723%",Integrated Oil and Gas,US,"97.357.927,20 USD",599.864
WMT,Walmart Inc.,"0,3716%",Diversified Retailers,US,"97.174.867,20 USD",1.477.720
BAC,Bank of America Corp.,"0,3674%",Banks,US,"96.055.220,19 USD",2.401.981
NFLX,Netflix Inc.,"0,3656%",Entertainment,US,"95.592.397,32 USD",148.986
AMD,Advanced Micro Devices Inc.,"0,3579%",Semiconductors,US,"93.589.508,80 USD",560.752
7203,Toyota Motor Corp.,"0,3433%",Automobiles,JP,"89.757.875,27 USD",4.147.310
005930,Samsung Electronics Co. Ltd.,"0,3346%",Telecommunications Equipment,KR,"87.475.696,80 USD",1.647.816
KO,Coca-Cola Co.,"0,3217%",Soft Drinks,US,"84.125.767,95 USD",1.336.815
PEP,PepsiCo Inc.,"0,3165%",Soft Drinks,US,"82.753.052,20 USD",478.618
SHEL,Shell plc,"0,3098%",Integrated Oil and Gas,GB,"80.991.674,58 USD",2.262.589
AZN,AstraZeneca plc,"0,3063%",Pharmaceuticals,GB,"80.084.476,90 USD",515.998
BRK.A,Berkshire Hathaway Inc. Class A,"0,3047%",Diversified Financial Services,US,"79.679.800,00 USD",127
QCOM,QUALCOMM Inc.,"0,3043%",Semiconductors,US,"79.561.747,65 USD",389.913
CRM,Salesforce Inc.,"0,2939%",Software,US,"76.843.571,00 USD",327.775
TMO,Thermo Fisher Scientific Inc.,"0,2905%",Medical Equipment,US,"75.954.829,44 USD",133.728
WFC,Wells Fargo & Co.,"0,2875%",Banks,US,"75.160.292,48 USD",1.254.344
NOVN,Novartis AG,"0,2848%",Pharmaceuticals,CH,"74.463.190,77 USD",721.015
LIN,Linde plc,"0,2814%",Chemicals: Diversified,IE,"73.578.490,88 USD",168.944
ADBE,Adobe Inc.,"0,269%",Software,US,"70.345.020,64 USD",158.164
SAP,SAP SE,"0,2642%",Software,DE,"69.074.450,13 USD",383.393
MC,LVMH Moet Hennessy Louis Vuitton SE,"0,263%",Clothing and Accessories,FR,"68.767.011,71 USD",86.195
DIS,Walt Disney Co.,"0,254%",Entertainment,US,"66.405.140,24 USD",639.064
CSCO,Cisco Systems Inc./Delaware,"0,2512%",Telecommunications Equipment,US,"65.678.599,50 USD",1.412.443
MCD,McDonald's Corp.,"0,2505%",Restaurants and Bars,US,"65.501.758,90 USD",253.010
ORCL,Oracle Corp.,"0,2417%",Software,US,"63.196.113,78 USD",539.262
AMAT,Applied Materials Inc.,"0,2409%",Production Technology Equipment,US,"62.993.490,72 USD",292.884
GE,General Electric Co.,"0,2393%",Diversified Industrials,US,"62.582.114,96 USD",378.964
ACN,Accenture plc Class A,"0,2388%",Professional Business Support Services,IE,"62.451.581,28 USD",221.232
TXN,Texas Instruments Inc.,"0,2371%",Semiconductors,US,"61.994.849,06 USD",317.906
ABT,Abbott Laboratories,"0,2355%",Medical Equipment,US,"61.572.234,13 USD",602.527
