Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
NOVO B,Novo Nordisk A/S Class B,"3,617%",Pharmaceuticals,DK,"134.636.450,13 €",1.082.962
ASML,ASML Holding NV,"3,2297%",Production Technology Equipment,NL,"120.220.906,40 €",138.058
NESN,Nestle SA,"2,4515%",Food Products,CH,"91.253.436,07 €",935.237
SHEL,Shell plc,"2,0154%",Integrated Oil and Gas,GB,"75.018.209,23 €",2.275.107
AZN,AstraZeneca plc,"1,987%",Pharmaceuticals,GB,"73.961.355,80 €",517.338
NOVN,Novartis AG,"1,8517%",Pharmaceuticals,CH,"68.926.126,60 €",724.530
SAP,SAP SE,"1,7121%",Software,DE,"63.730.133,64 €",384.009
MC,LVMH Moet Hennessy Louis Vuitton SE,"1,7102%",Clothing and Accessories,FR,"63.657.772,90 €",86.621
ROG,Roche Holding AG,"1,5358%",Pharmaceuticals,CH,"57.167.528,29 €",242.374
HSBA,HSBC Holdings plc,"1,468%",Banks,GB,"54.645.602,11 €",6.690.671
TTE,TotalEnergies SE,"1,2994%",Integrated Oil and Gas,FR,"48.368.086,04 €",721.804
SIE,Siemens AG,"1,2358%",Diversified Industrials,DE,"46.001.568,62 €",260.987
ULVR,Unilever plc,"1,1711%",Personal Products,GB,"43.590.403,56 €",868.604
SU,Schneider Electric SE,"1,1413%",Electrical Components,FR,"42.484.248,25 €",186.785
ALV,Allianz SE,"0,9851%",Full Line Insurance,DE,"36.670.170,80 €",136.676
SAN,Sanofi SA,"0,919%",Pharmaceuticals,FR,"34.207.625,76 €",381.101
BP.,BP plc,"0,8982%",Integrated Oil and Gas,GB,"33.432.944,30 €",5.839.754
AIR,Airbus SE,"0,8583%",Aerospace,NL,"31.947.495,70 €",204.923
UBSG,UBS Group AG,"0,8242%",Asset Managers and Custodians,CH,"30.681.057,87 €",1.054.694
GSK,GSK plc,"0,7837%",Pharmaceuticals,GB,"29.172.580,30 €",1.408.103
CFR,Cie Financiere Richemont SA,"0,7346%",Luxury Items,CH,"27.345.514,99 €",185.918
SAN,Banco Santander SA,"0,7282%",Banks,ES,"27.105.726,52 €",5.606.728
REL,RELX plc,"0,7138%",Publishing,GB,"26.569.292,50 €",663.186
ABBN,ABB Ltd.,"0,7091%",Electrical Components,CH,"26.396.459,93 €",523.320
RMS,Hermes International SCA,"0,6995%",Clothing and Accessories,FR,"26.038.016,00 €",11.966
SAF,Safran SA,"0,6853%",Aerospace,FR,"25.508.088,10 €",119.141
DTE,Deutsche Telekom AG,"0,6772%",Telecommunications Services,DE,"25.209.031,53 €",1.130.957
IBE,Iberdrola SA,"0,6676%",Conventional Electricity,ES,"24.850.786,40 €",2.053.784
RIO,Rio Tinto plc,"0,658%",General Mining,GB,"24.491.291,69 €",381.348
BNP,BNP Paribas SA,"0,6525%",Banks,FR,"24.289.676,80 €",358.784
ZURN,Zurich Insurance Group AG,"0,6523%",Full Line Insurance,CH,"24.280.065,60 €",50.199
GLEN,Glencore plc,"0,6435%",General Mining,JE,"23.952.064,34 €",4.248.121
DGE,Diageo plc,"0,6413%",Distillers and Vintners,GB,"23.870.516,57 €",773.743
EL,EssilorLuxottica SA,"0,5878%",Medical Supplies,FR,"21.879.231,60 €",106.572
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"0,5862%",Reinsurance,DE,"21.821.682,40 €",47.656
UCG,UniCredit SPA,"0,5679%",Banks,IT,"21.140.048,85 €",581.010
CS,Axa SA,"0,5522%",Full Line Insurance,FR,"20.554.323,80 €",621.916
ISP,Intesa Sanpaolo SPA (Registered),"0,5473%",Banks,IT,"20.372.205,18 €",5.649.530
BBVA,Banco Bilbao Vizcaya Argentaria SA,"0,5458%",Banks,ES,"20.316.882,88 €",2.043.952
ABI,Anheuser-Busch InBev SA/NV,"0,5388%",Brewers,BE,"20.055.620,54 €",348.067
MBG,Mercedes-Benz Group AG,"0,5373%",Automobiles,DE,"20.000.211,20 €",301.208
BATS,British American Tobacco plc,"0,5366%",Tobacco,GB,"19.975.604,92 €",705.271
DG,Vinci SA,"0,5257%",Construction,FR,"19.567.173,15 €",170.967
INGA,ING Groep NV,"0,5205%",Banks,NL,"19.375.516,01 €",1.184.033
OR,L'Oreal SA,"0,4988%",Cosmetics,FR,"18.568.651,20 €",41.072
LSEG,London Stock Exchange Group plc,"0,4891%",Financial Data Providers,GB,"18.206.022,13 €",169.433
ENEL,Enel SPA,"0,4864%",Conventional Electricity,IT,"18.106.729,47 €",2.720.362
PRX,Prosus NV,"0,4755%",Consumer Digital Services,NL,"17.701.447,38 €",530.301
BA.,BAE Systems plc,"0,4677%",Defense,GB,"17.408.253,31 €",1.066.324
CRH,CRH plc,"0,4658%",Cement,IE,"17.339.390,74 €",241.656
IFX,Infineon Technologies AG,"0,4514%",Semiconductors,DE,"16.804.131,30 €",456.324
AI,Air Liquide SA,"0,4422%",Specialty Chemicals,FR,"16.459.034,76 €",91.206
,L'Oreal SA,"0,4394%",Cosmetics,FR,"16.355.169,60 €",36.176
ITX,Industria de Diseno Textil SA,"0,4301%",Apparel Retailers,ES,"16.009.563,24 €",367.529
RACE,Ferrari NV,"0,4201%",Automobiles,NL,"15.637.191,60 €",41.434
RR.,Rolls-Royce Holdings plc,"0,4184%",Aerospace,GB,"15.575.863,42 €",2.929.165
ATCO A,Atlas Copco AB Class A,"0,4134%",Machinery: Construction and Handling,SE,"15.389.714,76 €",875.058
CPG,Compass Group plc,"0,4133%",Vending and Catering Service,GB,"15.385.818,26 €",598.485
STLAM,Stellantis NV,"0,4054%",Automobiles,NL,"15.091.541,20 €",747.106
BAS,Basf Se,"0,4052%",Chemicals: Diversified,DE,"15.082.619,60 €",311.560
SIKA,Sika AG,"0,398%",Building Materials: Other,CH,"14.814.008,53 €",53.164
HOLN,Holcim AG,"0,3927%",Cement,CH,"14.616.112,25 €",181.704
LLOY,Lloyds Banking Group plc,"0,3885%",Banks,GB,"14.459.791,83 €",22.206.791
ALC,Alcon Inc.,"0,3796%",Medical Supplies,CH,"14.129.435,58 €",172.243
INVE B,Investor AB Class B,"0,3695%",Diversified Financial Services,SE,"13.752.289,36 €",552.097
